,Fruit
756,0.0041502903093800616
757,0.0043211744551177565
758,0.004584813489541102
759,0.0049301431259383376
760,0.010642684794744181
761,0.011269876877570561
762,0.011774259184952387
763,0.012305410066400613
764,0.012461600370807952
765,0.012825262606910371
766,0.0131343732543695
767,0.0066702860274847715
768,0.006810871059498829
769,0.007168207755654648
770,0.007314869382408783
771,0.007503558126901902
772,0.013437819313495348
773,0.0062117729362645355
774,0.005911916354760489
775,0.0056359845792143945
776,0.0053991928420032585
777,0.005274515852242396
778,0.005084680863829332
779,0.01017187845546562
780,0.010128050735537861
781,0.01015040725916573
782,0.01026711590691669
783,0.01042081691463389
784,0.010631237405498489
785,0.010961265699855187
786,0.005602052251040205
787,0.005644833458837455
788,0.005787185096309737
789,0.005994836931705476
790,0.006269907066104802
791,0.0134598403317279
792,0.014361348640883169
793,0.01539233515350291
794,0.0
795,0.005556224652763455
796,0.005077830354256424
797,0.004776488912245301
798,0.004578571210019467
799,0.004450461694389669
800,0.004338946343338411
801,0.0042318910556307125
802,0.0041366847332955795
803,0.004066672264038276
804,0.003973523629401198
805,0.003911931798485328
806,0.003937790604673315
807,0.004180923155915093
808,0.004428746108604373
809,0.00934613905709769
810,0.009835394826894411
811,0.010399696038186915
812,0.011248147911255354
813,0.011970719572638644
814,0.012663567554222892
815,0.006801863338993135
816,0.007205883556818484
817,0.007360312226471607
818,0.007292895541682489
819,0.006829350500965182
820,0.006355855124454104
821,0.005872083608913316
822,0.005515724329037571
823,0.01034943505871897
824,0.010037416460246336
825,0.00965887853722968
826,0.009350632184949526
827,0.009140837738527075
828,0.008917170807752544
829,0.004400321126211876
830,0.004392736574593126
831,0.0043056012858555814
832,0.004220902865636022
833,0.004071534594616848
834,0.003950962723541817
835,0.0038613497134222644
836,0.0037619338485981395
837,0.007386533190445161
838,0.0072377814795192095
839,0.007248299869292852
840,0.007328894922587798
841,0.007532458601770987
842,0.0076380646368165404
843,0.003916988483344452
844,0.0039461547410636
845,0.003964610366104472
846,0.003937169690091504
847,0.00390850266160415
848,0.003905905729087142
849,0.003882391889943887
850,0.00386601748990269
851,0.003892194393081918
852,0.007682841356334931
853,0.007829840705706598
854,0.0079138122315299
855,0.008023246360200334
856,0.008272156609728824
857,0.0042635683878116705
858,0.004457781447759593
859,0.004651410826556742
860,0.004919867906357039
861,0.005171113999203726
862,0.005526106573105387
863,0.0058463865060561565
864,0.006204680170860227
865,0.006626579123625312
866,0.0071718159743751385
